observation,date,panel,geo,mean,lower_5,upper_95,draw_sd
260,2024-01-29,DE,DE,2.877102744884692e6,2.414111403124147e6,3.335666097886673e6,285748.8851056454
261,2024-02-05,DE,DE,2.763634623764886e6,2.3130232342515104e6,3.261282087267372e6,285381.1635139083
262,2024-02-12,DE,DE,2.6792833752892613e6,2.2209154289560323e6,3.110953784167084e6,283325.150637479
263,2024-02-19,DE,DE,2.6906640803945437e6,2.2402082904417897e6,3.1561501615504627e6,277404.0503511083
264,2024-02-26,DE,DE,2.4921060058442894e6,2.0500675970843078e6,2.9320752177693145e6,279084.2679560999
265,2024-03-04,DE,DE,2.443046765377308e6,1.9864749297702466e6,2.877360179405749e6,276411.401911133
266,2024-03-11,DE,DE,2.929139350445283e6,2.401377350407548e6,3.4667528082806524e6,316784.5400808921
267,2024-03-18,DE,DE,3.0226063156267023e6,2.549777756667406e6,3.5225643302268717e6,307124.68888568
268,2024-03-25,DE,DE,2.3769330707845874e6,1.9492705833160435e6,2.911657884060839e6,297307.90582115983
269,2024-04-01,DE,DE,2.239869414760716e6,1.7387975263590226e6,2.7087689935965324e6,294965.26441117283
270,2024-04-08,DE,DE,2.288066558930281e6,1.8466709295693545e6,2.766571448718594e6,281403.9630755547
271,2024-04-15,DE,DE,2.3790413466433943e6,1.9052639310489008e6,2.877551244147024e6,293539.4414344163
272,2024-04-22,DE,DE,1.8560278871808369e6,1.398156698094183e6,2.2956146890157876e6,280781.4625612935
273,2024-04-29,DE,DE,1.8303750628664617e6,1.402158645561144e6,2.3175491813421506e6,289274.0366659408
274,2024-05-06,DE,DE,1.5551731735428923e6,1.1010088998648769e6,1.9964776246791782e6,274145.54631758673
275,2024-05-13,DE,DE,1.9046614310991731e6,1.4265170629594096e6,2.4235989299908234e6,307857.1020288248
276,2024-05-20,DE,DE,1.552774545576938e6,1.1038581624437226e6,2.0415632197625479e6,286162.83299839724
277,2024-05-27,DE,DE,1.5253496444796345e6,1.0731506257815466e6,2.0099198877907859e6,279131.2314845396
278,2024-06-03,DE,DE,1.5057091913497408e6,1.0331300087274403e6,1.9591269327890016e6,281213.5938248901
279,2024-06-10,DE,DE,1.4716277890228815e6,1.0544544798559377e6,1.9436538800542033e6,278184.73227214295
280,2024-06-17,DE,DE,1.2900361696958728e6,863453.3907585129,1.761090473001969e6,273844.86496105604
281,2024-06-24,DE,DE,1.3703686507729578e6,933301.1295527885,1.836225972959537e6,279884.22183812474
282,2024-07-01,DE,DE,1.2850633504873964e6,840860.5557280369,1.756555182341436e6,289162.53474314534
283,2024-07-08,DE,DE,1.2601630603068916e6,809424.8358139376,1.6847907081946372e6,279807.2162418136
284,2024-07-15,DE,DE,1.3590133893710843e6,871356.0116069639,1.830712172150182e6,291891.44477758923
285,2024-07-22,DE,DE,1.1758431822767218e6,716227.354397888,1.6161884026269855e6,273384.073349403
286,2024-07-29,DE,DE,1.0048155372074427e6,538718.0785987966,1.471619482375405e6,285434.2000183536
287,2024-08-05,DE,DE,1.083448787967335e6,603879.4193416083,1.5874678632136325e6,287229.49615985405
288,2024-08-12,DE,DE,1.0006710767874309e6,548302.4301947356,1.4409596997678354e6,276346.90697148966
289,2024-08-19,DE,DE,1.1040839357627234e6,676570.5488294692,1.5732749170867216e6,277134.97917733574
290,2024-08-26,DE,DE,945863.1375202278,448441.44173393137,1.417475949914744e6,296259.08731583715
291,2024-09-02,DE,DE,1.205220376179216e6,706601.4546475239,1.635848504649321e6,277400.45907747565
292,2024-09-09,DE,DE,1.0896001469066606e6,638171.6740726922,1.5037308932690439e6,271946.66816509643
293,2024-09-16,DE,DE,1.3549279360785112e6,872378.0138370863,1.8556909869495647e6,295087.46626846056
294,2024-09-23,DE,DE,1.091349468020732e6,584287.2480883299,1.5544639950265745e6,285132.8761861046
295,2024-09-30,DE,DE,1.2857604528874063e6,793535.8358855883,1.7576788446824425e6,286195.0255714023
296,2024-10-07,DE,DE,1.2063960238246487e6,720274.3509407692,1.6743734052500916e6,295164.95602983446
297,2024-10-14,DE,DE,1.407975310280148e6,943288.1563821451,1.8959557366463463e6,276009.9054832526
298,2024-10-21,DE,DE,1.4789377991671988e6,982128.0553792224,1.9813019605527301e6,297515.48660585465
299,2024-10-28,DE,DE,1.625104811623455e6,1.1695197874542233e6,2.0697886060404528e6,272497.9787534256
300,2024-11-04,DE,DE,1.593094783024518e6,1.149461554682335e6,2.0176420040113642e6,273513.8442981159
301,2024-11-11,DE,DE,2.1473409568831366e6,1.7132719818644896e6,2.5869733150714873e6,275226.4635888916
302,2024-11-18,DE,DE,1.8573894601838384e6,1.3683022063294621e6,2.3346634301304175e6,291424.814096384
303,2024-11-25,DE,DE,2.2764333546585315e6,1.7994183537898439e6,2.765399949062973e6,286039.89127704664
304,2024-12-02,DE,DE,2.0350187465000618e6,1.5599870051597427e6,2.4898318042628686e6,281095.1110057409
305,2024-12-09,DE,DE,2.6390347659852942e6,2.2091589847784773e6,3.1449846072848956e6,288494.0210883087
306,2024-12-16,DE,DE,2.678786041563941e6,2.2050778934349883e6,3.1664504479469373e6,293874.6646280696
307,2024-12-23,DE,DE,2.8325375236924826e6,2.3409618759580147e6,3.375450619089415e6,308670.6778894841
308,2024-12-30,DE,DE,2.541504852274406e6,2.0773023664350489e6,3.015892054551167e6,285360.0949346688
309,2025-01-06,DE,DE,2.932317667379748e6,2.483576857338703e6,3.4079860699162907e6,278385.69410392834
310,2025-01-13,DE,DE,2.7744128166730576e6,2.313793601056435e6,3.2470112139895554e6,284338.69920466095
311,2025-01-20,DE,DE,3.067286897376555e6,2.577565780662596e6,3.5465951901292335e6,295281.92876671965
312,2025-01-27,DE,DE,2.707325259972276e6,2.2475081804456427e6,3.145136248352002e6,273245.2512205649
